user_id,prediction
850,260 1210 480 2028 589 1270 593 1580 110 2396 1197 527 1097 1265 2628 2997 318 356 296 2716 1 1214 457 2916 3578
2012,2858 2028 593 608 2762 110 2396 1617 527 2997 858 318 296 1240 1214 2916 780 34 50 1193 1221 2355 1036 912 1213
1511,2858 260 480 589 1270 593 1580 608 2762 110 2396 1197 1097 1265 2628 2997 318 356 296 2716 1 2916 3578 1259 1200
5846,1196 1210 480 2028 589 2571 1270 1580 1198 2762 110 2396 1197 1617 527 1097 1265 2628 858 356 296 1240 1 1214 457
4344,593 2716 1 3578 2987 919 3175 924 1387 2355 1036 2000 3114 2599 2683 1374 3418 1304 3481 1923 2706 1393 3623 3408 1961
5570,2858 2028 1270 593 2762 2396 1617 2997 1 3578 1259 50 1193 1221 924 2000 1136 3114 1721 2599 2797 3793 32 590 2959
2507,2858 1196 480 2028 2571 110 527 1265 2628 2716 2987 1200 541 34 1127 924 1213 377 32 648 590 1374 1394 1573 1225
5903,2858 1196 1270 593 608 1198 2762 110 2396 1197 1617 1097 2997 858 318 356 296 2716 1240 1214 3578 2987 1259 1200 541
554,1196 260 1210 480 2028 589 2571 1270 1580 608 1198 110 2396 1197 1617 527 1097 1265 2628 2997 858 318 356 296 1240
202,2571 2762 1197 527 2997 858 1240 1214 457 1259 1200 780 541 34 50 1127 1221 3175 924 1036 912 1213 2000 377 3114
4387,480 589 2571 608 1198 2396 527 2628 2997 318 1 1214 457 2916 3578 1200 780 541 1193 3175 2791 1036 1213 2000 1136
1820,260 480 2028 2571 1270 608 1198 110 1197 527 1097 2628 3578 2987 1259 34 924 2791 1291 1213 377 1136 1721 1968 2599
5082,260 480 2028 589 2571 593 1580 608 1198 2762 110 1197 1617 527 1097 2628 858 318 356 296 1240 1 1214 457 2916
3827,1196 1210 589 1580 608 1198 2396 1197 527 1097 1265 2997 858 356 2716 1240 1 1214 3578 2987 1259 1200 541 34 1193
5854,2858 1196 1210 2028 1270 608 1198 1197 527 1097 1265 2628 2997 858 318 356 296 1240 1 1214 457 3578 2987 1259 1200
38,2858 1196 260 1210 480 2028 589 2571 1270 593 1580 608 1198 2762 110 1197 1617 527 1097 1265 2628 2997 858 318 356
1985,2858 260 1270 593 608 2762 110 2396 1617 527 1265 2997 318 356 296 2716 1 457 2987 1259 1200 34 50 1193 919
1392,2858 1196 480 2571 2396 1197 1097 1265 2997 296 1 1259 34 50 1387 1291 1136 3114 1307 1704 2599 2797 3793 2291 32
4626,1210 1198 110 858 318 2716 3578 34 1193 1127 919 1221 3175 924 1036 912 1307 1721 1704 2599 3793 2291 648 2959 1374
425,2858 1196 260 1210 2571 1270 608 2762 2396 1197 1617 527 2628 2997 2716 1240 1214 457 2916 3578 780 541 34 1127 919
216,260 480 110 1197 1617 2628 1 2916 3578 780 50 1127 919 1221 924 1387 2355 1213 1307 2599 3793 32 2174 3471 648
2857,2858 260 1210 2571 1270 2396 527 1265 2997 2716 1 3578 1259 34 50 1221 2791 2355 912 2000 1136 3114 1307 1704 2599
3701,2858 260 589 2571 1270 593 1580 608 110 2396 1197 1617 1097 1265 858 318 356 296 2716 1240 2916 1259 34 50 1193
548,1196 260 1210 2028 1270 593 1580 608 1198 2762 2396 1197 1617 527 1097 1265 2628 2997 318 356 296 1240 1 457 2916
889,2858 480 1198 2762 110 2396 2628 457 34 50 1221 1387 1610 1036 1291 1307 1704 2683 3418 1573 1225 1584 3481 2699 380
3517,1196 260 480 2028 589 2571 593 1580 608 1198 2762 2396 1197 1617 527 1097 1265 2628 2997 858 318 296 2716 1 1214
5815,2858 260 2028 593 608 1198 2762 110 2396 1197 1617 527 1265 2628 2997 858 318 356 296 2716 1 457 2987 1259 780
591,260 480 589 1580 1198 2396 1197 1617 1097 1265 2628 2997 296 2716 1 1214 3578 2987 780 919 1221 3175 1387 2791 2355
5595,593 1580 608 110 2396 1617 527 1265 2997 318 356 296 2716 1240 1 1259 34 50 1193 1127 919 3175 1387 2791 2355
2941,2858 260 2028 1270 608 1198 110 2396 1617 527 1265 2997 858 318 296 1 457 3578 1259 780 34 50 1193 1127 1221
4728,480 2028 2762 527 2628 356 1240 1 1214 457 1259 2791 2355 1036 912 2000 3114 1307 1721 3793 2174 3471 2918 592 1304
4117,1210 2028 1270 2762 110 1197 527 1097 1265 2997 858 2716 1240 1 1214 2987 1259 1200 780 34 1193 1127 919 1221 3175
4153,1196 260 1210 2028 1270 593 608 1198 2762 110 2396 1197 1617 527 1097 2997 858 318 296 2716 1240 1 1214 2916 3578
5226,1196 2028 1270 593 608 110 2396 1197 1617 527 1097 1265 2628 2997 318 296 2716 1 1214 457 2916 3578 2987 1259 780
4345,2858 260 2028 589 1270 593 1198 2762 527 2628 858 318 296 1240 1214 3578 1200 541 34 1193 1127 1221 3175 2791 2355
3539,480 2028 2571 1197 527 2997 2987 1221 3175 924 1387 1610 2355 912 1213 3114 1307 3793 32 3471 590 3418 1304 1225 3481
500,1196 260 1210 480 2028 589 1270 593 1580 1198 110 1617 1265 2628 2997 858 356 2716 1240 1 1214 457 2916 3578 2987
3882,2858 1196 260 1210 480 589 2571 1270 593 1580 1198 2762 2396 1197 527 1097 1265 2628 2997 858 318 356 296 2716 1240
2738,2858 1196 260 1210 480 589 2571 1270 593 1580 608 1198 2762 110 2396 1197 1097 1265 2628 2997 858 318 356 2716 1240
3518,1196 2028 2571 110 2396 1197 1617 527 858 296 1240 1214 457 2916 3578 1200 780 541 1193 1127 1221 3175 924 1610 2355
2947,2858 1196 260 1210 480 2028 589 1270 1580 1198 2762 110 2396 1617 1097 2628 858 318 2716 1240 1 1214 2916 3578 2987
4502,260 1210 480 2028 589 2571 593 1580 1198 2762 1197 1265 356 457 2916 3578 2987 780 34 50 1193 1127 3175 1610 2355
156,1196 260 1210 480 2028 589 2571 1270 593 1580 608 1198 2762 110 2396 1197 1097 1265 2628 858 318 296 1240 1214 457
4675,2028 589 1270 593 1198 2762 527 1097 1265 2997 318 356 1240 1 1214 2916 3578 1259 1200 541 34 1193 1127 919 3175
673,1196 1210 2028 2571 1270 1198 2762 2396 1197 1617 1097 1265 2628 2997 356 2716 1240 1 457 2916 2987 1200 780 541 50
5136,2858 260 2028 593 2762 110 2396 1197 527 2628 2997 858 296 1 1214 457 2916 3578 2987 1259 34 50 1193 919 1221
