user_id,prediction
2592,1219 1223 1041 162 2791 946 590 373 2467 1914 2662 535 531 538 1286 1029 449 82 151 2915 1376 1672 2159 97 1943
4318,213 942 1171 39 2657 1658 517 152 196 1317 1053 93 939 404 1566 2676 1804 1875 3814 2541 147 3334 923 2351 2401
2756,1927 541 969 942 58 28 2890 1050 1286 233 151 613 1092 1337 1395 224 266 316 1416 1866 407 1703 61 1004 1604
1706,318 1253 1251 308 1222 940 28 1960 920 190 941 149 309 568 155 369 1809 1346 707 100 2297 3 370 753 61
4813,373 1057 1777 316 282 707 294 132 612 93 106 698 3334 923 2268 910 2541 3814 147 3542 2116 1566 1429 272 640
2878,678 308 356 971 247 1035 373 101 1282 337 1729 431 346 522 1057 368 1777 144 155 224 316 83 1024 2625 46
2241,1178 908 1259 1235 356 589 475 590 17 1365 30 1057 514 1092 1194 224 316 351 783 1331 2378 998 577 464 533
5337,904 475 1161 2130 522 377 368 112 680 316 465 185 1114 19 1053 925 831 202 37 228 1160 142 2816 640 2351
5826,904 213 308 1956 1446 918 941 766 501 964 144 224 13 801 61 771 327 325 711 202 53 681 137 847 729
1150,1230 1303 1394 1287 920 1046 1188 3105 1663 948 1729 976 156 342 309 501 2490 222 1883 2105 198 46 408 2320 328
1974,1266 529 36 1095 77 999 158 135 382 1114 533 751 840 1445 1170 398 712 280 640 2541 147 3334 923 2268 910
4072,905 593 1269 1203 1248 213 942 246 1220 941 249 205 68 2640 621 155 1013 316 465 705 1015 170 2262 252 1331
543,50 1193 1224 950 593 608 1248 1963 942 1537 1235 1344 1834 2607 628 741 475 1046 1079 590 1643 549 262 300 190
5070,1193 1221 608 1197 213 942 994 1962 32 941 205 431 1580 597 522 1465 368 144 230 1169 1337 224 963 381 344
1448,541 942 1066 1258 1266 931 123 1244 47 971 162 1150 1340 223 1095 17 2139 121 364 235 531 1050 2171 1365 538
2668,318 50 904 908 1213 593 1219 898 1224 950 2360 608 1269 1223 1276 1288 1225 1248 111 942 1214 911 2300 1090 1235
3018,904 213 931 1050 1982 507 2738 707 157 132 93 3109 923 2816 1566 1804 1875 2080 3814 2541 147 3334 2750 2268 3225
2484,1172 1260 1219 1224 1132 1225 581 1259 1258 1 293 3007 47 940 28 1941 590 373 176 1282 902 6 121 322 1356
5682,1235 57 97 621 224 362 488 100 577 649 113 157 637 831 202 64 129 37 439 2676 2541 910 3334 923 2268
411,318 50 2905 1178 1212 923 904 1262 908 913 912 1204 1172 1284 1136 1213 905 1949 1233 1260 1254 678 1219 898 1234
300,1254 954 593 1203 541 909 1236 942 932 293 931 308 1249 529 1344 356 162 940 515 1103 475 1079 590 2268 101
4007,50 913 905 1269 1288 1203 1236 1235 356 47 2303 2020 590 475 300 615 2239 535 357 39 30 412 229 25 77
3965,47 121 149 39 165 229 77 1194 268 1205 74 1114 570 327 612 751 503 563 93 754 564 406 291 404 310
5136,318 1394 1729 1034 163 144 369 316 381 707 328 1783 2074 1667 1151 419 1659 404 1739 2541 3814 1804 1566 3542 147
1228,1207 1193 2186 1213 2329 593 2324 326 2203 916 1223 1276 541 1237 213 111 1963 1066 1256 994 1266 1827 1231 232 356
547,913 541 942 1 356 2010 47 28 373 190 314 535 1484 357 348 57 26 597 346 551 1057 10 253 2112 368
2077,1207 1213 541 1449 969 1244 1411 162 2599 290 2071 549 553 190 300 199 1584 1356 1101 39 2065 380 3327 481 1397
1125,905 1219 1223 213 1 1235 590 373 121 299 944 1396 1343 1732 69 1057 171 97 368 621 224 465 263 351 282
3598,904 1253 1945 932 942 1132 446 1963 373 101 1050 1340 938 1310 2231 57 164 562 68 1123 1684 482 1092 2272 352
3423,123 69 155 282 764 100 61 93 404 847 623 3334 923 3542 2268 2541 3814 1804 147 2116 910 2816 1429 272 640
4523,1193 593 213 942 931 356 590 535 26 229 141 1688 1399 1346 850 577 824 1605 445 463 558 656 831 173 1750
3778,908 1254 1208 951 1387 1344 1270 247 508 1282 1184 104 62 2099 851 2145 417 543 458 60 81 753 2175 1440 1881
4164,953 1244 373 73 1017 1194 963 2567 1119 1021 241 2241 1043 415 831 37 2251 601 3225 923 1804 3814 2541 147 3334
4908,1221 326 1247 213 942 800 931 1962 223 32 17 1171 1730 1484 1127 522 597 253 155 1337 224 760 536 152 370
5574,932 144 224 282 1346 170 328 183 61 2079 831 419 93 815 847 3334 1804 3814 2541 1566 147 3542 910 923 2268
267,1207 923 1193 1147 913 905 1224 1132 950 326 1223 916 1203 2357 1617 110 1283 1242 1237 965 1963 1256 246 1214 1259
2223,904 905 942 1211 356 529 940 1941 741 2068 300 1356 588 1029 2443 551 481 2284 482 613 97 180 1093 1068 1202
5852,1266 931 123 47 14 229 568 116 144 837 1205 316 282 1627 1367 1644 413 840 173 754 815 3571 3045 2816 1566
4335,745 47 28 149 848 43 3040 60 1346 1762 1550 444 563 93 291 397 404 712 717 641 1852 3334 147 923 2541
713,121 1034 2967 69 253 1904 465 282 1346 135 379 1114 1151 503 419 623 712 641 2268 3045 3591 2401 2351 1566 3109
2064,1212 1262 1172 1208 1228 1294 529 3007 356 940 2966 1446 714 508 892 176 190 299 1729 766 449 346 2284 171 117
5054,1225 1270 1161 1282 6 1261 522 2184 613 112 495 1533 327 2296 92 737 623 1429 3045 3591 1566 2401 1804 3814 2541
2250,953 1233 678 1197 1950 2330 246 911 994 1719 1090 1235 1394 2313 1935 28 1354 1080 920 1960 1954 590 892 262 3105
3340,1299 446 47 940 28 3160 902 531 1396 1889 97 846 3441 421 488 550 464 183 1744 533 570 76 1460 2544 416
5018,50 1178 905 1259 932 308 28 1446 2871 223 373 17 348 1729 1019 431 2237 159 1068 2847 369 224 465 372 1654
3539,593 950 1248 47 940 290 590 892 1050 1584 349 26 39 1785 163 1033 85 144 1518 341 465 1399 298 105 170
2026,318 904 1193 908 1172 905 678 1132 950 541 1223 1248 969 213 942 911 1090 1 1235 356 456 1222 1301 3007 529
1457,318 858 913 1204 905 1223 1236 213 28 921 32 101 901 1912 1286 2115 522 1615 621 2046 316 362 465 452 13
5240,1284 1254 1189 581 2973 1344 1270 1282 2058 635 2344 1747 83 1024 1044 2524 709 639 779 542 429 554 1846 1632 2477
562,1252 2028 1224 1225 965 1259 1 308 1222 1264 28 1060 921 475 1788 1282 190 314 1683 1484 3289 627 1376 1310 1380
5352,593 916 293 529 1220 2268 892 531 1022 1396 57 1904 964 368 369 289 224 2454 465 105 188 257 835 1629 48
4903,213 3088 475 590 97 224 316 465 550 185 409 841 533 528 1604 831 245 93 37 137 228 1170 698 557 398
3402,1250 908 913 1132 326 1269 541 1223 1203 1248 914 213 1963 1214 1259 1235 446 932 29 933 28 714 1446 2303 475
3909,913 1132 593 1242 1235 1931 778 1834 1060 741 590 1079 595 927 17 615 1275 535 72 57 205 1295 1910 482 592
5981,1282 522 141 2880 368 680 224 469 184 327 424 153 19 831 630 623 311 1566 1804 923 3814 2541 2816 147 3334
2297,50 898 213 1294 1222 3007 1264 1192 1291 668 1186 2570 2371 514 2237 417 2842 282 1442 1687 2168 1570 1114 239 384
1701,527 904 1193 953 678 593 916 608 541 2357 1197 1131 919 213 942 581 911 1090 931 308 456 529 971 28 778
4257,1262 916 213 599 965 942 1256 246 2300 529 28 1069 290 628 223 32 1340 892 1913 373 101 2138 94 1374 1730
660,527 1207 1193 1221 913 2186 593 1267 1233 953 678 608 910 951 950 326 1225 556 1248 1131 213 246 1259 1963 1719
1371,2905 904 2186 1193 913 905 678 950 1223 1203 1303 1237 914 942 1281 1719 800 1096 456 1961 1394 47 1931 940 778
1172,1219 1224 1208 541 1272 969 1211 29 1344 47 778 1834 714 508 1046 1788 1643 3281 1302 668 300 2664 523 1484 2295
3576,745 1203 1253 1287 36 2575 2239 941 156 229 77 43 1194 1205 372 1627 423 74 1713 135 95 1128 2535 1114 1550
4448,1225 1237 1358 1259 932 308 1961 933 247 475 2696 471 39 2048 230 661 616 170 2581 850 1689 760 517 426 207
360,1262 593 916 1223 541 1197 914 969 911 1096 529 47 28 1354 2732 290 1079 2210 555 553 535 2919 1050 1261 1396
41,318 1212 926 908 1204 1104 1260 1219 1224 951 296 1223 1276 608 541 1225 1203 1236 1253 1617 213 1189 969 942 1263
1470,2019 904 2324 111 1237 599 246 1199 356 1946 1077 714 1446 2194 1245 2303 741 1069 373 2069 1282 190 345 534 588
4064,1224 892 1078 314 346 69 1476 368 155 680 224 1353 44 325 65 2308 3814 2268 147 1804 3334 923 1566 2816 3045
1587,1267 953 1203 911 940 1185 1227 2303 34 1095 121 941 39 2065 507 165 412 568 917 390 116 144 680 1194 1016
1339,318 1219 541 2859 916 969 1263 1228 1211 1222 3007 223 190 902 300 1396 449 333 425 805 1376 1310 1083 1476 964
2376,527 1193 678 1197 246 800 123 1962 1035 628 32 1340 17 941 72 205 431 597 522 2085 10 1092 1033 144 230
4942,1224 1223 1089 1 1387 28 943 938 2922 205 151 1057 506 1476 2280 2134 2155 1337 361 1563 81 2341 1331 695 2843
5688,307 1227 2020 1759 121 1187 39 937 650 1128 195 503 406 958 2452 1325 1720 398 641 3591 147 2676 3334 923 2268
1083,1147 608 541 2203 916 1299 969 1283 1230 58 907 293 28 1941 1150 1069 1997 946 2210 373 892 2069 594 1466 918
3903,590 1162 475 57 233 2161 465 372 24 2031 384 533 413 831 863 2541 2268 147 1804 1566 3334 923 3814 3542 910
4890,1132 942 535 249 141 282 24 760 464 196 413 19 37 404 815 584 1566 2816 3045 1804 3814 2139 2541 3542 147
2454,1253 1266 307 529 47 1185 1227 34 121 2231 80 149 39 2763 165 1306 1951 1785 163 1205 224 372 650 1015 381
2016,50 858 904 1252 1193 1204 1213 1224 1223 1203 541 909 1197 1236 1950 1449 1237 213 965 3095 581 246 1214 58 1235
